FIPS, MILESOFRAIL
30065,19.10681125
56003,92.5459906
35017,116.7718745
08029,80.87135902
30071,61.3171513
35029,137.0542691
56017,36.20370213
56043,33.29680967
08045,104.8507251
08085,16.96837422
35006,69.04725436
30003,120.0384341
08067,32.51912831
08111,13.32312251
56025,102.6628486
56007,145.3930942
08051,8.05724829
30103,57.7750316
08107,125.7130385
56033,129.8731692
30105,106.3189403
35013,176.1361522
35061,140.3417813
08037,124.7247517
08097,12.56311974
35051,51.80776011
35053,101.6922663
30087,102.6015898
08079,18.05922046
35001,71.69256671
08105,58.28874223
48141,172.6485294
35039,31.03994699
08049,83.08956219
35043,36.26330245
08007,1.68310258
08021,55.64588176
35057,120.9904284
08065,33.44888307
08015,79.15331891
35035,123.3695868
35049,86.87691644
30017,66.55523248
30019,64.04520829
08109,1.40901851
56009,184.3320026
08003,36.10170367
56005,232.8016703
56001,124.5119457
48229,121.6830514
35027,86.08861283
08043,96.77035234
30085,140.6868796
35047,79.2348621
08047,21.53682779
08023,37.21893486
30055,13.97715716
30079,66.44963899
08013,63.90433681
30021,125.8244313
08059,62.70793849
35019,137.9923814
56021,285.007752
08055,75.53199811
08069,111.8797638
08014,7.32574176
56031,143.1265756
56011,26.47532454
08123,231.7633414
08001,151.2726241
08031,119.0881655
08035,81.39910559
08041,126.7178824
30091,111.4773093
08005,42.97777797
35033,45.35536534
08101,280.1692008
35007,108.2851183
48109,71.46284952
35011,93.59864521
56027,44.80988786
56045,71.81882195
48243,33.96939934
08071,152.2925953
56015,149.7586531
35005,106.3666503
30025,41.99450729
30083,52.29717889
48377,129.1076063
35015,171.2256554
30109,19.82122578
08087,63.23760553
35037,88.59200641
48389,88.61288898
08025,33.77368616
08089,98.85879679
46019,26.10194351
46033,71.8981356
31105,41.90675046
31157,136.8133705
31165,23.34451675
38023,60.38540738
38033,23.8068651
38087,9.13218372
38105,136.5505512
38053,10.62186195
38011,55.00474344
08039,31.19937351
46047,105.6040961
35041,68.85635879
35059,85.29682381
35025,95.32495746
46081,31.73843142
46103,153.5499672
35009,110.8195358
48043,126.053145
08073,74.36990282
46093,27.87039807
38007,22.16763428
31045,93.06342888
08061,90.15327266
08121,45.57234601
48475,64.34885636
08011,73.11622811
31033,112.8409377
31123,140.0693488
48371,79.69061533
08075,121.7698549
31013,95.23005594
38089,82.67704876
08017,65.57272006
08063,68.13056438
48495,27.67556596
48003,3.85878493
48369,66.13271792
48205,80.13034357
48111,87.31971382
08009,107.3577397
38001,52.55478234
38013,129.9022614
38061,138.6568837
48017,25.32287946
08125,51.1459022
31161,51.27137166
48103,5.16877634
48135,68.08708262
08099,47.04228333
08095,38.78954336
08115,34.78416693
31069,33.36477848
48079,1.16842186
48279,42.8899587
31049,26.75696013
48219,64.98528779
48165,4.11675385
48443,68.47855332
48445,40.07751354
48069,31.0418479
40025,74.46489194
48117,49.27995383
46105,5.06800171
48105,0.53069244
48359,18.14281097
48461,35.00031225
48329,33.49540676
38101,239.4358162
48381,73.9994147
48375,192.1359065
48421,57.20197704
38059,99.08680378
48303,174.803079
31101,92.53647202
31057,49.10299811
31135,53.97956974
20181,44.50901009
20199,40.15022868
20071,32.43136363
20075,34.77967808
20187,33.80831484
40139,75.90547162
48341,96.46924808
38075,42.40127953
46071,40.43116939
31075,30.76529802
38085,0.43556344
48437,38.50307097
46031,99.18337391
48189,91.06232064
48115,16.71213068
38057,67.38685437
20129,24.18901709
48317,13.02382827
48305,37.47927623
20023,24.9270345
48383,31.21779829
46055,41.06256036
48465,105.6555533
48227,44.62998858
31029,20.11385576
48233,39.50839926
48065,99.24940334
48011,34.59227973
20203,30.64558268
48169,48.24776941
20189,37.18003118
20093,30.99054018
20067,32.75725664
38009,141.7457193
20109,44.72192713
38055,131.2143985
48195,10.23058983
31091,30.56007097
20153,41.55487683
20193,69.32786923
31085,12.92609038
31087,57.44444355
48235,43.31460214
31111,236.8409652
38065,35.13404651
48335,33.21395443
20171,50.96515193
20055,88.45191653
48415,49.99804808
20081,38.92676617
48129,43.08017655
48179,35.13472747
48357,36.99717874
46075,56.32001664
38049,152.6114301
20175,41.02850319
31171,34.69964107
38015,94.48191308
20063,43.71371855
48393,17.66972921
46117,30.77087101
31145,61.26452858
20039,59.30780037
20179,13.98378501
