FRANODEID,ECCENTRICITY,LATITUDE,LONGITUDE
365336,988,41.22159808,-96.06898214
365337,1286,30.25690564,-96.06891591
365338,1285,30.26937532,-96.06863394
365340,969,39.83317627,-96.06851393
365342,1000,41.50952611,-96.06804201
365343,989,41.22128023,-96.06749492
365349,991,41.21865053,-96.06613274
365353,1313,29.53207137,-96.0648639
365354,1344,28.7941223,-96.0645412
365363,989,41.22141328,-96.06319509
365366,1280,30.36137913,-96.06292755
365367,1273,31.45989243,-96.06290117
365369,989,41.22147583,-96.06283493
365370,988,41.22151701,-96.06251694
365371,992,41.21518954,-96.06246136
365372,971,39.83326083,-96.06222997
365382,1052,42.92522486,-96.06020151
365388,1053,42.92641895,-96.05798587
365391,996,39.1895339,-96.05721249
365393,1200,34.46683977,-96.05632676
365395,991,41.22126694,-96.05623517
365397,1199,34.46758074,-96.05558941
365398,972,39.83512236,-96.05554793
365399,1314,29.53312733,-96.05535526
365400,1201,34.46797794,-96.05480694
365401,1055,42.92826704,-96.05474752
365405,1054,42.92847121,-96.0541779
365406,977,39.30791068,-96.05380748
365407,1340,28.89650913,-96.05370716
365412,978,39.30699697,-96.05268676
365415,1274,31.46560939,-96.05243096
365416,973,39.83701641,-96.05206916
365419,1343,28.80212826,-96.05165405
365421,1341,28.89404,-96.05129553
365423,1342,28.80506335,-96.05061319
365424,1346,28.79756749,-96.05020088
365425,1200,34.47333593,-96.05010185
365426,979,39.30459847,-96.04988137
365427,978,39.30435338,-96.04967198
365430,1199,34.47634599,-96.0493335
365431,1198,34.48204689,-96.04918876
365432,1345,28.79961339,-96.04840864
365433,1343,28.80232867,-96.04840864
365434,1346,28.79757047,-96.04840218
365435,1344,28.80055081,-96.04833106
365436,1341,28.89710427,-96.04819389
365439,990,41.22148109,-96.04708733
365441,1344,28.8022233,-96.0464012
365443,1005,41.80574904,-96.04548036
365446,989,41.22152712,-96.04453536
365448,1261,32.26653073,-96.04365685
365450,1260,32.27013604,-96.04204467
365451,1259,32.27034223,-96.04195246
365454,1259,32.27405553,-96.04029199
365458,1258,32.27560872,-96.03959745
365468,1306,29.77178,-96.03617
365471,995,39.18052664,-96.03578659
365472,995,39.1806059,-96.03578057
365473,1053,42.950263,-96.035544
365475,979,39.29189,-96.03526
365485,997,41.21748687,-96.03146854
365489,996,41.21398409,-96.03045577
365490,1281,30.3532823,-96.03028179
365491,994,39.17729963,-96.03005663
365498,990,41.22153609,-96.02857393
365499,997,41.21727418,-96.02824461
365502,1004,41.72945813,-96.0271774
365503,980,39.28440676,-96.02710403
365508,996,41.21728551,-96.02559247
365510,991,41.22149597,-96.02494407
365513,1003,41.71344486,-96.02465931
365515,1002,41.71232738,-96.02448359
365516,995,41.21960727,-96.02444735
365518,1001,41.70971803,-96.02407327
365534,992,41.22135658,-96.02026834
365536,1005,39.08317299,-96.02014253
365538,993,41.22130858,-96.01995315
365539,993,41.22135796,-96.01985321
365542,994,41.2205888,-96.01913818
365545,995,41.21824231,-96.01820061
365552,993,41.22136153,-96.01646248
365554,994,41.22124017,-96.01608058
365556,994,41.22098676,-96.01583787
365558,1342,28.90106893,-96.01577964
365563,992,41.22149597,-96.01515259
365569,994,41.2199624,-96.0146993
365573,991,41.22154401,-96.01447443
365601,1343,28.8709068,-96.0122959
365605,1249,32.16882236,-96.01192179
365614,1054,42.98094034,-96.01111778
365629,1000,41.62202368,-96.01030436
365645,999,41.61747208,-96.00958787
365650,1257,32.30681258,-96.00854115
365655,1288,32.70788714,-96.00820165
365656,1055,42.98654041,-96.00783729
365659,981,39.26422779,-96.00509831
365660,997,41.55797667,-96.00483096
365686,992,41.22155184,-96.00133809
365690,998,41.561444,-96.000781
365724,1197,34.58041008,-95.99613254
365726,998,41.55773459,-95.99575552
365728,1004,39.09403193,-95.99489112
365729,1199,36.15573113,-95.99444529
365730,1021,40.82939086,-95.99413223
365735,1289,30.07229435,-95.99275167
365742,1020,40.82708278,-95.98962553
365746,993,41.22158127,-95.98714098
365748,1343,28.96618939,-95.98691418
365749,1198,36.15816215,-95.98686127
365755,1197,36.15858909,-95.98555553
365760,994,41.22159589,-95.98447917
365793,1196,36.15730484,-95.97966153
365800,995,41.22212216,-95.97804747
365840,1344,28.97663007,-95.96983027
365852,982,39.2390368,-95.9670709
365857,1345,28.97672425,-95.96637485
365875,1346,28.97676422,-95.96498038
365881,998,41.230399,-95.964193
365895,997,41.22513233,-95.96185093
365896,995,41.22508912,-95.96169236
365910,996,41.22324673,-95.95980606
365913,1004,41.22224261,-95.9592389
365919,983,39.2338933,-95.9581718
365925,1003,41.2183097,-95.9570797
365927,1250,32.17736615,-95.95706577
365929,998,41.2225499,-95.95663355
365933,997,41.21826604,-95.95618716
365935,1002,41.21709974,-95.95616242
365939,998,41.21713883,-95.95560186
365943,999,41.22097552,-95.95508599
365950,998,41.2268209,-95.9542848
365951,1004,41.21202733,-95.95376099
365953,1002,41.21320933,-95.95346411
365956,996,41.2287155,-95.95321906
365958,1002,41.20753749,-95.95274679
365959,1001,41.21028237,-95.95231558
365960,1007,41.14685091,-95.95221458
365961,1000,41.21005773,-95.95220775
365962,1002,41.20986142,-95.95211138
365963,997,41.22989835,-95.9520594
365964,999,41.20981852,-95.95203653
365965,1001,41.20931891,-95.95192579
365966,1001,41.20976149,-95.95171163
365972,1001,41.20861934,-95.95116198
365973,1000,41.20810269,-95.95109201
365975,1002,41.20082057,-95.95097864
365976,999,41.20701321,-95.95084075
365977,1002,41.20733087,-95.95078364
365981,1000,41.20463543,-95.95017993
365997,1001,41.20078845,-95.9474737
366005,1003,39.0964421,-95.94668573
366006,1002,41.1997847,-95.9465009
366009,1000,41.24207861,-95.94640353
366022,993,39.13257016,-95.9447946
366024,1307,29.7865774,-95.94474314
366039,997,41.24490542,-95.94204274
366046,999,41.24567279,-95.94164937
366061,1000,41.24913847,-95.93967204
366063,973,39.86282903,-95.93943441
366070,998,41.24810273,-95.93827407
366071,1003,41.19099,-95.93826
366072,1002,39.09412026,-95.93820539
366074,998,41.24872491,-95.93812344
366078,999,41.24939545,-95.93739489
366079,999,41.24913492,-95.93705152
366081,1000,41.2495375,-95.9367788
366094,974,39.8655089,-95.93532017
366109,1006,41.15186563,-95.93351916
366112,999,41.55606418,-95.93336661
366127,1256,32.25744398,-95.93234978
366138,1001,41.2512565,-95.93153645
366148,1017,40.8832318,-95.9309552
366150,1011,41.05852844,-95.93064874
366161,1196,34.68059653,-95.92967336
366162,1010,41.06835606,-95.92958591
366168,1019,40.82079862,-95.92916818
366172,1290,30.05675957,-95.9285901
366175,1007,41.13440395,-95.92845804
366176,984,39.21654,-95.92841
366187,1008,41.12372,-95.92761
366193,1014,40.93402914,-95.92686516
366196,1005,41.16249291,-95.92658765
366200,1009,41.11151354,-95.92642598
366206,1016,40.91316623,-95.926087
366209,1015,40.91362288,-95.92599428
366210,1018,40.82219804,-95.92596335
366212,1019,40.82163658,-95.92594059
366216,1004,41.16509568,-95.92582309
366222,1020,40.81503586,-95.92536372
366223,1020,40.81515454,-95.92535629
366226,1015,40.92272701,-95.9252097
366228,1002,41.24944118,-95.92496815
366232,1021,40.81351696,-95.92468291
366234,1021,40.81312724,-95.92458058
366235,1013,40.97021123,-95.92448451
366237,1011,41.07167065,-95.92427376
366240,985,39.21400217,-95.92408022
366243,1012,40.97411774,-95.9232343
366245,1251,32.18314906,-95.92313678
366246,1020,40.8099139,-95.92307281
366261,1020,40.80774326,-95.92182117
366262,1001,41.24973317,-95.92160983
366263,1291,30.05506001,-95.92156758
366320,1282,30.34955017,-95.91777441
366329,1002,41.24979009,-95.91721993
366334,1019,40.80262936,-95.91702133
366344,1018,40.7841329,-95.91655366
366424,1308,29.78647899,-95.91043717
366433,1003,41.24975702,-95.90993004
366443,1006,41.23527433,-95.90870907
366448,1056,43.07131969,-95.90848549
366471,1195,34.72042034,-95.90690235
366472,1309,29.78334428,-95.90681347
366479,1058,43.07439635,-95.90598659
366482,1057,43.07630379,-95.90555037
366489,1194,34.72572636,-95.90465757
366490,1309,29.78646804,-95.90447402
366492,1011,41.26070387,-95.90414836
366507,1252,32.19499948,-95.90179902
366510,1000,41.555131,-95.901241
366514,1195,36.10772848,-95.90032566
366518,1288,30.34004043,-95.89965053
366520,1194,36.10698788,-95.89941552
366523,1288,30.33941656,-95.89883271
366529,1003,41.50665274,-95.89779522
366530,1002,41.52302048,-95.89778115
366532,1001,41.547102,-95.897663
366534,1195,36.11087897,-95.89758314
366538,1001,41.55523264,-95.89713471
366539,1287,30.33818176,-95.89679625
366543,1288,30.33794255,-95.89650533
366551,1196,36.10021533,-95.89563912
366558,1193,36.10536901,-95.89490934
366560,1002,41.55525642,-95.89487016
366565,1011,40.59383669,-95.89407499
366575,1283,30.33822057,-95.89346454
366576,1194,36.10496169,-95.89312446
366580,1284,30.33782942,-95.89288496
366582,1004,41.25006479,-95.89279301
366585,1004,41.24995937,-95.89244162
366586,1285,30.33716029,-95.89240009
366589,1286,30.33692109,-95.89224493
366590,1004,41.49557082,-95.89223302
366598,1287,30.33656875,-95.89162752
366601,1001,41.55493324,-95.89127077
366613,1002,41.5552585,-95.88953122
366614,1286,30.336155,-95.88946823
366619,1010,40.57221572,-95.88897938
366622,1002,41.55516317,-95.88876224
366623,1008,41.25000472,-95.88852212
366627,1285,30.33586407,-95.88819464
366629,1002,41.55521364,-95.88788873
366631,1007,41.2498978,-95.88771183
366632,1284,30.33563743,-95.88764989
366635,986,39.18800946,-95.88749065
366640,1289,32.69794568,-95.88587577
366643,1008,41.25127215,-95.88563306
366647,1005,41.25047666,-95.88482861
