FRANODEID,ECCENTRICITY,EFFICIENCY,LATITUDE,LONGITUDE
311373,1261,0.003371666,37.42601159,-121.9015906
311374,1219,0.003865357,38.02591158,-121.9015141
311375,1261,0.003371666,37.42595047,-121.9014612
311377,1257,0.003615352,37.42637068,-121.9012601
311378,1220,0.003741819,38.02591495,-121.9011506
311379,1258,0.003651131,37.42582441,-121.9011451
311380,1258,0.003569074,37.42585115,-121.9009631
311381,1257,0.003579029,37.42594918,-121.9008198
311383,1259,0.003567951,37.42533925,-121.9005607
311384,1257,0.0036437,37.4255379,-121.900532
311385,1257,0.003692961,37.42525521,-121.9003739
311386,1259,0.003637967,37.42501072,-121.9003068
311388,1222,0.003735613,38.02618903,-121.9001983
311389,1258,0.00369058,37.42477004,-121.9001152
311390,1256,0.00372494,37.42478533,-121.9000051
311391,1259,0.003459314,37.42273004,-121.8999476
311392,1260,0.003391074,37.4227415,-121.8998853
311393,1255,0.003767009,37.42460578,-121.8998566
311394,1262,0.003258873,37.42277971,-121.8997991
311395,1262,0.003258873,37.42280263,-121.8997464
311396,1256,0.003663651,37.42439062,-121.8996813
311397,1262,0.003258873,37.42282555,-121.8996746
311398,1262,0.003258873,37.42284465,-121.8996315
311399,1255,0.003719255,37.42415881,-121.8994925
311400,1223,0.003656962,38.02604274,-121.8994394
311401,1254,0.003784166,37.42391814,-121.8993153
311402,1249,0.004090539,37.38634846,-121.8992903
311403,1257,0.003692232,37.42344825,-121.8991572
311404,1254,0.003782077,37.42371853,-121.8991562
311405,1443,0.002881567,45.6613211,-121.8991353
311406,1224,0.003584228,38.02596875,-121.899061
311407,1256,0.003718341,37.42319994,-121.89898
311408,1253,0.003839753,37.42347789,-121.8989694
311411,1254,0.003747571,37.42316947,-121.8987307
311412,1223,0.003642341,38.02589981,-121.8986975
311413,1255,0.003762424,37.42271858,-121.8986591
311415,1254,0.003824031,37.42249318,-121.8984914
311416,1254,0.003765038,37.42279499,-121.8984435
311418,1253,0.003831205,37.42250082,-121.8982136
311419,1258,0.003528909,37.42143113,-121.8980603
311420,1257,0.003558227,37.42145406,-121.8980124
311421,1256,0.003599719,37.42147316,-121.8979645
311422,1255,0.003653239,37.42149226,-121.8979262
311424,1253,0.003863189,37.42201947,-121.8978448
311425,1253,0.003911184,37.42171384,-121.8976244
311426,1252,0.003997365,37.42135868,-121.8973298
311427,1251,0.004054169,37.42077594,-121.8970043
311428,1250,0.004138591,37.4204611,-121.8967723
311430,1250,0.004016967,37.36415241,-121.896591
311432,1251,0.00390627,37.36142016,-121.8957254
311433,1252,0.003785631,37.36810245,-121.8949515
311434,1259,0.003365453,37.42851372,-121.894851
311435,1254,0.003583944,37.3421619,-121.8947514
311436,1260,0.003303395,37.42938468,-121.8947025
311437,1224,0.003584228,38.02556856,-121.8946247
311438,1259,0.003415059,37.42799038,-121.8945109
311439,1252,0.003769966,37.35724013,-121.8944025
311440,1258,0.003487804,37.42761602,-121.8943624
311441,1223,0.003642341,38.02549121,-121.8942059
311442,1221,0.00370789,38.02524235,-121.893734
311443,1222,0.003723603,38.02530961,-121.8935874
311444,1253,0.003635513,37.3688549,-121.8933814
311445,1220,0.003829264,38.02515996,-121.8933259
311446,1258,0.003487804,37.42582059,-121.8933086
311447,1221,0.00381604,38.02520032,-121.8933004
311449,1257,0.003578386,37.42556082,-121.8932176
311450,1444,0.002731808,45.66946921,-121.8931736
311451,1253,0.003668335,37.35291413,-121.8930443
311452,1251,0.004027298,37.41360047,-121.8929633
311453,1220,0.003885973,38.02506243,-121.8929114
311454,1217,0.003914552,38.02485393,-121.8928072
311455,1218,0.003927218,38.02482198,-121.8924034
311457,1219,0.003949198,38.02492287,-121.8922099
311458,1259,0.003365453,37.42358578,-121.8920153
311459,1217,0.004049486,38.02482309,-121.8919889
311460,1218,0.004020458,38.02484552,-121.8917827
